index,date,output
14801.0,2014-02-01 19:05:16,"```json
{
  ""category"": ""altcoins"",
  ""sentiment"": ""positive"""
14802.0,2014-02-01 19:17:56,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
14803.0,2014-02-01 19:33:25,"```json
{
  ""category"": ""speculation"",
  ""sentiment"": ""neutral"""
14804.0,2014-02-01 20:02:40,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""negative"""
14805.0,2014-02-01 20:33:56,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
14806.0,2014-02-01 21:06:09,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""neutral"""
14807.0,2014-02-01 21:31:06,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""negative"""
14808.0,2014-02-01 21:42:06,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""negative"""
14809.0,2014-02-01 21:48:42,"```json
{
  ""category"": ""speculation"",
  ""sentiment"": ""neutral"""
14810.0,2014-02-01 21:53:38,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
14811.0,2014-02-01 23:22:03,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""neutral"""
14812.0,2014-02-01 23:47:18,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""neutral"""
14813.0,2014-02-02 01:03:51,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
14814.0,2014-02-02 04:02:29,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
14815.0,2014-02-02 06:42:34,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""negative"""
14816.0,2014-02-02 07:31:41,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""neutral"""
14817.0,2014-02-02 07:51:02,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
14818.0,2014-02-02 09:20:12,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
14819.0,2014-02-02 09:32:52,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
14820.0,2014-02-02 11:42:16,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
14821.0,2014-02-02 12:26:30,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
14822.0,2014-02-02 13:00:21,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
14823.0,2014-02-02 13:48:42,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
14824.0,2014-02-02 13:56:47,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
14825.0,2014-02-02 14:39:25,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
14826.0,2014-02-02 15:20:46,"```json
{
  ""category"": ""speculation"",
  ""sentiment"": ""negative"""
14827.0,2014-02-02 15:31:58,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""positive"""
14828.0,2014-02-02 16:27:51,"```json
{
  ""category"": ""speculation"",
  ""sentiment"": ""neutral"""
14829.0,2014-02-02 17:02:34,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""positive"""
14830.0,2014-02-02 18:12:05,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""negative"""
14831.0,2014-02-02 18:43:15,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
14832.0,2014-02-02 18:47:58,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""negative"""
14833.0,2014-02-02 19:28:44,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""positive"""
14834.0,2014-02-02 19:55:43,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""neutral"""
14835.0,2014-02-02 20:05:58,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
14836.0,2014-02-02 21:00:36,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
14837.0,2014-02-02 21:09:10,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""neutral"""
14838.0,2014-02-02 21:36:19,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
14839.0,2014-02-02 22:15:42,"```json
{
  ""category"": ""altcoins"",
  ""sentiment"": ""neutral"""
14840.0,2014-02-02 23:11:28,"```json
{
  ""category"": ""speculation"",
  ""sentiment"": ""neutral"""
14841.0,2014-02-02 23:19:19,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
14842.0,2014-02-02 23:31:36,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
14843.0,2014-02-03 01:06:30,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
14844.0,2014-02-03 02:17:41,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
14845.0,2014-02-03 02:25:06,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""neutral"""
14846.0,2014-02-03 02:44:48,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""positive"""
14847.0,2014-02-03 03:45:32,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
14848.0,2014-02-03 04:12:49,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
14849.0,2014-02-03 08:18:14,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""neutral"""
14850.0,2014-02-03 11:53:03,"```json
{
  ""category"": ""speculation"",
  ""sentiment"": ""negative"""
14851.0,2014-02-03 14:20:29,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
14852.0,2014-02-03 16:10:32,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
14853.0,2014-02-03 16:32:56,"```json
{
  ""category"": ""speculation"",
  ""sentiment"": ""neutral"""
14854.0,2014-02-03 19:28:00,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
14855.0,2014-02-03 21:48:20,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
14856.0,2014-02-03 21:50:09,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
14857.0,2014-02-03 22:01:05,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""neutral"""
14858.0,2014-02-03 22:12:39,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
14859.0,2014-02-03 23:58:57,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
14860.0,2014-02-04 00:41:46,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
14861.0,2014-02-04 02:50:22,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""neutral"""
14862.0,2014-02-04 04:00:15,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""neutral"""
14863.0,2014-02-04 04:57:35,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""neutral"""
14864.0,2014-02-04 05:50:28,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
14865.0,2014-02-04 05:52:51,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""negative"""
14866.0,2014-02-04 06:26:45,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""negative"""
14867.0,2014-02-04 07:32:19,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""neutral"""
14868.0,2014-02-04 07:43:26,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""negative"""
14869.0,2014-02-04 08:18:52,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""negative"""
14871.0,2014-02-04 09:16:27,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
14872.0,2014-02-04 09:40:20,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
14873.0,2014-02-04 10:15:11,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
14874.0,2014-02-04 12:01:30,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
14875.0,2014-02-04 12:30:51,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
14876.0,2014-02-04 12:56:10,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""neutral"""
14877.0,2014-02-04 13:05:47,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
14878.0,2014-02-04 15:02:04,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
14879.0,2014-02-04 15:23:43,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""neutral"""
14880.0,2014-02-04 16:24:09,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
14881.0,2014-02-04 17:00:58,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""positive"""
14882.0,2014-02-04 17:02:47,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""negative"""
14883.0,2014-02-04 17:43:16,"```json
{
  ""category"": ""altcoins"",
  ""sentiment"": ""neutral"""
14884.0,2014-02-04 18:14:56,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""negative"""
14885.0,2014-02-04 19:50:27,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""negative"""
14886.0,2014-02-04 19:55:47,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""negative"""
14887.0,2014-02-04 20:34:08,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
14888.0,2014-02-04 20:51:41,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""negative"""
14889.0,2014-02-04 21:07:50,"```json
{
  ""category"": ""speculation"",
  ""sentiment"": ""neutral"""
14890.0,2014-02-04 21:12:00,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
14891.0,2014-02-04 21:24:31,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
14892.0,2014-02-04 21:30:17,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
14893.0,2014-02-04 21:42:44,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
14894.0,2014-02-04 23:01:29,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""negative"""
14895.0,2014-02-04 23:10:36,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
14896.0,2014-02-05 00:01:33,"```json
{
  ""category"": ""speculation"",
  ""sentiment"": ""positive"""
14897.0,2014-02-05 00:41:57,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
14898.0,2014-02-05 02:37:00,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""negative"""
14899.0,2014-02-05 02:46:29,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""neutral"""
14900.0,2014-02-05 03:32:17,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""strongly negative"""
14901.0,2014-02-05 04:00:38,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
14902.0,2014-02-05 05:15:47,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
14903.0,2014-02-05 06:01:04,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
14904.0,2014-02-05 06:26:46,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
14905.0,2014-02-05 07:16:38,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
14906.0,2014-02-05 08:45:37,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
14907.0,2014-02-05 08:53:32,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""neutral"""
14908.0,2014-02-05 10:14:59,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
14909.0,2014-02-05 11:55:18,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
14910.0,2014-02-05 12:05:04,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
14911.0,2014-02-05 12:09:19,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""negative"""
14912.0,2014-02-05 12:25:06,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""negative"""
14913.0,2014-02-05 12:30:50,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
14914.0,2014-02-05 13:24:12,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
14915.0,2014-02-05 13:28:01,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
14916.0,2014-02-05 14:08:41,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
14917.0,2014-02-05 14:27:23,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
14918.0,2014-02-05 14:33:22,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
14919.0,2014-02-05 15:01:15,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
14920.0,2014-02-05 15:27:45,"```json
{
  ""category"": ""altcoins"",
  ""sentiment"": ""neutral"""
14921.0,2014-02-05 15:47:08,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
14922.0,2014-02-05 16:26:40,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
14923.0,2014-02-05 16:32:49,"```json
{
  ""category"": ""none"",
  ""sentiment"": ""negative"""
14924.0,2014-02-05 16:48:25,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""neutral"""
14925.0,2014-02-05 17:33:51,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
14926.0,2014-02-05 18:48:38,"```json
{
  ""category"": ""adoption"",
  ""sentiment"": ""positive"""
