row_index,hardware_name,hardware_index,date,owned,hardware_release_date,speed,power,noise,hash,profit,Mhash/J
0,Breakout boards,-1,2018-01-01 14:35:32,0.9506500959396362,,,,,,,
1,Mouser Pt# 651-1711301,-1,2018-01-01 14:35:32,0.852054238319397,,,,,,,
2,Server PSU,-1,2018-01-01 14:35:32,0.9358803033828736,,,,,,,
3,dps1000 models,-1,2018-01-01 18:00:35,0.9197863340377808,,,,,,,
4,antminers s9,115,2018-01-01 18:31:49,0.9918326139450072,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
5,antminers s9,115,2018-01-01 18:31:49,0.9813207983970642,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
6,Raspberry Pi,-1,2018-01-02 05:07:14,0.950986921787262,,,,,,,
8,64 MB DRAM,-1,2018-01-02 05:07:14,0.9592546224594116,,,,,,,
9,USB to serial converter,-1,2018-01-02 05:07:14,0.921072006225586,,,,,,,
11,power supply,-1,2018-01-02 05:07:14,0.9250025749206544,,,,,,,
12,Antminer S1,-1,2018-01-02 05:07:14,0.9286507368087769,,,,,,,
13,S7s,124,2018-01-02 05:17:30,0.9773612022399902,Jun 2016,2.7Th/s,697W,48db,SHA-256,-$1.77/day,3873.7446197991394
14,Block Eruptor Cubes,-1,2018-01-02 13:39:41,0.9966208934783936,,,,,,,
16,Raspberry Pi 2,-1,2018-01-02 16:08:08,0.93856942653656,,,,,,,
17,Avalon 741,121,2018-01-02 16:08:08,0.9699227809906006,Apr 2017,7.3Th/s,1150W,65db,SHA-256,-$2.67/day,6347.826086956522
20,741s,121,2018-01-02 16:08:08,0.9745203852653505,Apr 2017,7.3Th/s,1150W,65db,SHA-256,-$2.67/day,6347.826086956522
21,AUC,-1,2018-01-02 16:08:08,0.9640414714813232,,,,,,,
22,RPI 1.2,-1,2018-01-02 16:08:08,0.8476426601409912,,,,,,,
23,Raspberry Pi 3,-1,2018-01-02 16:08:08,0.9796658158302308,,,,,,,
24,Antminer U3,-1,2018-01-03 02:17:29,0.9952432513237,,,,,,,
25,apw3++,-1,2018-01-03 02:53:59,0.9329994320869446,,,,,,,
26,double pole breaker,-1,2018-01-03 02:53:59,0.934026300907135,,,,,,,
27,breaker box,-1,2018-01-03 02:53:59,0.944616675376892,,,,,,,
28,50 amp main breaker,-1,2018-01-03 02:53:59,0.9403794407844543,,,,,,,
29,150 amps,-1,2018-01-03 02:53:59,0.8931085467338562,,,,,,,
30,S1,-1,2018-01-03 10:33:03,0.9111939072608948,,,,,,,
31,S2,-1,2018-01-03 10:33:03,0.9872809052467346,,,,,,,
32,ASIC Block Erupter USB,-1,2018-01-03 10:33:03,0.9657223224639891,,,,,,,
33,RaspberryPi2,-1,2018-01-03 10:33:03,0.9766833186149596,,,,,,,
34,U1,-1,2018-01-03 10:33:03,0.975484311580658,,,,,,,
35,BXM,-1,2018-01-03 10:33:03,0.9567959308624268,,,,,,,
36,BXF,-1,2018-01-03 10:33:03,0.9194917678833008,,,,,,,
37,S5,127,2018-01-03 10:33:03,0.964358925819397,Dec 2014,1.155Th/s,590W,65db,SHA-256,-$1.60/day,1957.627118644068
38,U2,-1,2018-01-03 10:33:03,0.9974409341812134,,,,,,,
39,S5 boards,127,2018-01-03 16:23:39,0.9128713011741638,Dec 2014,1.155Th/s,590W,65db,SHA-256,-$1.60/day,1957.627118644068
40,butterfly labs jalapeno,-1,2018-01-03 20:10:40,0.990203857421875,,,,,,,
41,server PSU,-1,2018-01-03 20:14:17,0.8487404584884644,,,,,,,
42,Corsair ATX PSU,-1,2018-01-03 20:14:17,0.9091429114341736,,,,,,,
43,240v 30a pdus,-1,2018-01-03 20:14:17,0.9458041191101074,,,,,,,
44,s9,115,2018-01-03 20:14:17,0.8508154153823853,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
