index,date,output
2629.0,2011-06-11 22:47:13,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""scams"""
2630.0,2011-06-11 22:53:03,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""other"""
2631.0,2011-06-11 22:55:44,"```json
{
  ""categories"": [ 
    ""bitcoin_mining"",
    ""bitcoin_technology"",
    ""educational_resources"""
2632.0,2011-06-11 23:00:52,"```json
{
  ""categories"": [ 
    ""pessimistic_speculation"""
2633.0,2011-06-11 23:02:41,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""bitcoin_mining"",
    ""scams"""
2634.0,2011-06-11 23:02:49,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""scams"""
2635.0,2011-06-11 23:07:28,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""other"""
2636.0,2011-06-11 23:12:53,"```json
{
  ""categories"": [ 
    ""bitcoin_mining"""
2637.0,2011-06-12 00:00:09,"```json
{
  ""categories"": [ 
    ""other"""
2638.0,2011-06-12 00:00:12,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""financial_products"""
2639.0,2011-06-12 00:08:08,"```json
{
  ""categories"": [ 
    ""financial_products"",
    ""educational_resources"""
2640.0,2011-06-12 00:12:49,"```json
{
  ""categories"": [ 
    ""other"""
2641.0,2011-06-12 00:13:44,"```json
{
  ""categories"": [ 
    ""financial_products"",
    ""bitcoin_challenges"""
2642.0,2011-06-12 00:18:25,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"""
2643.0,2011-06-12 00:21:23,"```json
{
  ""categories"": [ 
    ""other"""
2644.0,2011-06-12 00:42:20,"```json
{
  ""categories"": [ 
    ""other"""
2645.0,2011-06-12 00:48:24,"```json
{
  ""categories"": [ 
    ""optimistic_speculation"""
2646.0,2011-06-12 00:51:02,"```json
{
  ""categories"": [ 
    ""optimistic_speculation"",
    ""other"""
2647.0,2011-06-12 00:57:31,"```json
{
  ""categories"": [ 
    ""bitcoin_adoption"",
    ""optimistic_speculation"""
2648.0,2011-06-12 01:02:11,"```json
{
  ""categories"": [ 
    ""financial_products"",
    ""educational_resources"""
2649.0,2011-06-12 01:04:08,"```json
{
  ""categories"": [ 
    ""financial_products"",
    ""optimistic_speculation"""
2650.0,2011-06-12 01:07:51,"```json
{
  ""categories"": [ 
    ""bitcoin_mining"",
    ""educational_resources"""
2651.0,2011-06-12 01:10:04,"```json
{
  ""categories"": [ 
    ""bitcoin_mining"",
    ""optimistic_speculation"""
2652.0,2011-06-12 01:12:26,"```json
{
  ""categories"": [ 
    ""other"""
2653.0,2011-06-12 01:24:12,"```json
{
  ""categories"": [ 
    ""educational_resources"""
2654.0,2011-06-12 01:24:53,"```json
{
  ""categories"": [ 
    ""other"""
2655.0,2011-06-12 01:36:53,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""bitcoin_challenges"",
    ""educational_resources"""
2656.0,2011-06-12 01:38:32,"```json
{
  ""categories"": [ 
    ""other"""
2657.0,2011-06-12 02:19:11,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"""
2658.0,2011-06-12 02:27:55,"```json
{
  ""categories"": [ 
    ""bitcoin_mining"",
    ""other"""
2659.0,2011-06-12 02:31:46,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""educational_resources"",
    ""other"""
2660.0,2011-06-12 02:43:26,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""educational_resources"""
2661.0,2011-06-12 03:03:40,"```json
{
  ""categories"": [ 
    ""bitcoin_adoption"",
    ""educational_resources"",
    ""other"""
2662.0,2011-06-12 03:17:44,"```json
{
  ""categories"": [ 
    ""bitcoin_mining"",
    ""optimistic_speculation"""
2663.0,2011-06-12 03:50:13,"```json
{
  ""categories"": [ 
    ""pessimistic_speculation"",
    ""financial_products"""
2664.0,2011-06-12 04:07:31,"```json
{
  ""categories"": [ 
    ""financial_products"",
    ""bitcoin_challenges"""
2665.0,2011-06-12 04:16:03,"```json
{
  ""categories"": [ 
    ""optimistic_speculation"",
    ""bitcoin_challenges"",
    ""educational_resources"""
2666.0,2011-06-12 04:23:14,"```json
{
  ""categories"": [ 
    ""other"""
2667.0,2011-06-12 04:26:22,"```json
{
  ""categories"": [ 
    ""optimistic_speculation"""
2668.0,2011-06-12 04:41:52,"```json
{
  ""categories"": [ 
    ""other"""
2669.0,2011-06-12 05:26:10,"```json
{
  ""categories"": [ 
    ""financial_products"",
    ""optimistic_speculation"""
2670.0,2011-06-12 05:32:22,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""other"""
2671.0,2011-06-12 06:37:43,"```json
{
  ""categories"": [ 
    ""other"""
2672.0,2011-06-12 07:21:09,"```json
{
  ""categories"": [ 
    ""financial_products"",
    ""bitcoin_challenges"",
    ""scams"""
2673.0,2011-06-12 07:32:24,"```json
{
  ""categories"": [ 
    ""bitcoin_adoption"",
    ""other"""
2674.0,2011-06-12 08:41:04,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""bitcoin_challenges"""
2675.0,2011-06-12 09:23:41,"```json
{
  ""categories"": [ 
    ""other"""
2676.0,2011-06-12 11:39:45,"```json
{
  ""categories"": [ 
    ""financial_products"",
    ""pessimistic_speculation"""
2677.0,2011-06-12 12:36:02,"```json
{
  ""categories"": [ 
    ""other"""
