index,date,output
10516.0,2013-05-07 00:52:13,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""educational_resources"""
10517.0,2013-05-07 02:19:55,"```json
{
  ""categories"": [ 
    ""financial_products"",
    ""bitcoin_challenges"""
10518.0,2013-05-07 03:15:31,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""financial_products"""
10519.0,2013-05-07 03:17:11,"```json
{
  ""categories"": [ 
    ""bitcoin_adoption"",
    ""educational_resources"""
10520.0,2013-05-07 03:52:14,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"""
10521.0,2013-05-07 05:50:39,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""other"""
10522.0,2013-05-07 05:55:56,"```json
{
  ""categories"": [ 
    ""bitcoin_adoption"",
    ""educational_resources"""
10523.0,2013-05-07 08:01:17,"```json
{
  ""categories"": [ 
    ""bitcoin_adoption"",
    ""other"""
10524.0,2013-05-07 09:11:09,"```json
{
  ""categories"": [ 
    ""altcoins"",
    ""bitcoin_challenges"",
    ""other"""
10525.0,2013-05-07 09:22:11,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""bitcoin_mining"",
    ""other"""
10526.0,2013-05-07 09:30:47,"```json
{
  ""categories"": [ 
    ""other"""
10527.0,2013-05-07 12:46:37,"```json
{
  ""categories"": [ 
    ""bitcoin_adoption"",
    ""other"""
10528.0,2013-05-07 15:13:49,"```json
{
  ""categories"": [ 
    ""altcoins"",
    ""educational_resources"",
    ""other"""
10529.0,2013-05-07 16:27:39,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""bitcoin_challenges"""
10530.0,2013-05-07 16:46:04,"```json
{
  ""categories"": [ 
    ""optimistic_speculation"",
    ""financial_products"""
10531.0,2013-05-07 17:45:49,"```json
{
  ""categories"": [ 
    ""bitcoin_adoption"",
    ""bitcoin_challenges"",
    ""other"""
10532.0,2013-05-07 19:06:45,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""bitcoin_challenges"",
    ""educational_resources"""
10533.0,2013-05-07 19:36:15,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"""
10534.0,2013-05-07 19:45:37,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"""
10535.0,2013-05-07 21:57:06,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""other"""
10536.0,2013-05-07 23:53:40,"```json
{
  ""categories"": [ 
    ""bitcoin_mining"",
    ""educational_resources"""
10537.0,2013-05-08 00:39:14,"```json
{
  ""categories"": [ 
    ""bitcoin_adoption"",
    ""educational_resources"",
    ""other"""
10538.0,2013-05-08 02:16:38,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""educational_resources"""
10539.0,2013-05-08 03:04:14,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"""
10540.0,2013-05-08 09:55:46,"```json
{
  ""categories"": [ 
    ""bitcoin_adoption"",
    ""other"""
10541.0,2013-05-08 11:15:24,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"""
10542.0,2013-05-08 13:39:01,"```json
{
  ""categories"": [ 
    ""other"""
10543.0,2013-05-08 14:46:49,"```json
{
  ""categories"": [ 
    ""other"""
10544.0,2013-05-08 15:14:06,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""scams"""
10545.0,2013-05-08 15:32:46,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""bitcoin_challenges"""
10546.0,2013-05-08 16:34:21,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""other"""
10547.0,2013-05-08 17:51:44,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""financial_products"""
10548.0,2013-05-08 21:04:04,"```json
{
  ""categories"": [ 
    ""other"""
10549.0,2013-05-09 01:00:51,"```json
{
  ""categories"": [ 
    ""educational_resources"",
    ""financial_products"",
    ""other"""
10550.0,2013-05-09 01:32:23,"```json
{
  ""categories"": [ 
    ""bitcoin_adoption"",
    ""other"""
10551.0,2013-05-09 01:37:21,"```json
{
  ""categories"": [ 
    ""bitcoin_mining"""
10552.0,2013-05-09 01:46:47,"```json
{
  ""categories"": [ 
    ""bitcoin_adoption"",
    ""other"""
10553.0,2013-05-09 02:40:34,"```json
{
  ""categories"": [ 
    ""altcoins"",
    ""educational_resources"",
    ""other"""
10554.0,2013-05-09 02:49:53,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""bitcoin_challenges"",
    ""educational_resources"""
10555.0,2013-05-09 04:16:41,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"""
10556.0,2013-05-09 04:31:09,"```json
{
  ""categories"": [ 
    ""other"""
10557.0,2013-05-09 11:39:48,"```json
{
  ""categories"": [ 
    ""educational_resources"",
    ""other"""
10558.0,2013-05-09 11:49:02,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"""
10559.0,2013-05-09 14:26:51,"```json
{
  ""categories"": [ 
    ""bitcoin_adoption"",
    ""other"""
10560.0,2013-05-09 15:03:25,"```json
{
  ""categories"": [ 
    ""optimistic_speculation"",
    ""bitcoin_adoption"",
    ""other"""
10561.0,2013-05-09 16:12:23,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"""
10562.0,2013-05-09 16:49:00,"```json
{
  ""categories"": [ 
    ""bitcoin_mining"""
10563.0,2013-05-09 16:56:38,"```json
{
  ""categories"": [ 
    ""financial_products"",
    ""bitcoin_challenges"""
10564.0,2013-05-09 17:08:18,"```json
{
  ""categories"": [ 
    ""other"""
10565.0,2013-05-09 18:06:12,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""educational_resources"""
10566.0,2013-05-09 19:36:55,"```json
{
  ""categories"": [ 
    ""other"""
10567.0,2013-05-09 20:22:25,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""other"""
10568.0,2013-05-09 20:54:49,"```json
{
  ""categories"": [ 
    ""bitcoin_adoption"",
    ""other"""
10569.0,2013-05-09 22:29:03,"```json
{
  ""categories"": [ 
    ""other"""
10570.0,2013-05-09 22:29:54,"```json
{
  ""categories"": [ 
    ""educational_resources"",
    ""other"""
10571.0,2013-05-09 23:08:33,"```json
{
  ""categories"": [ 
    ""bitcoin_adoption"",
    ""other"""
10572.0,2013-05-09 23:08:44,"```json
{
  ""categories"": [ 
    ""educational_resources"",
    ""other"""
10573.0,2013-05-09 23:12:10,"```json
{
  ""categories"": [ 
    ""bitcoin_adoption"",
    ""financial_products"",
    ""bitcoin_challenges"""
10574.0,2013-05-10 04:56:31,"```json
{
  ""categories"": [ 
    ""other"""
10575.0,2013-05-10 08:51:54,"```json
{
  ""categories"": [ 
    ""other"""
10576.0,2013-05-10 09:22:27,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""educational_resources"",
    ""other"""
10577.0,2013-05-10 13:58:58,"```json
{
  ""categories"": [ 
    ""other"""
10578.0,2013-05-10 14:52:58,"```json
{
  ""categories"": [ 
    ""bitcoin_mining"",
    ""educational_resources"""
10579.0,2013-05-10 16:08:44,"```json
{
  ""categories"": [ 
    ""other"""
10580.0,2013-05-10 16:18:49,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"""
10581.0,2013-05-10 16:51:34,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"""
10582.0,2013-05-10 20:29:23,"```json
{
  ""categories"": [ 
    ""other"""
10583.0,2013-05-10 20:43:04,"```json
{
  ""categories"": [ 
    ""other"""
10584.0,2013-05-10 22:33:04,"```json
{
  ""categories"": [ 
    ""other"""
10586.0,2013-05-11 02:37:32,"```json
{
  ""categories"": [ 
    ""educational_resources"""
10587.0,2013-05-11 02:57:05,"```json
{
  ""categories"": [ 
    ""bitcoin_adoption"",
    ""optimistic_speculation"""
10588.0,2013-05-11 03:55:54,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""educational_resources"",
    ""other"""
10589.0,2013-05-11 04:15:49,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"""
10590.0,2013-05-11 04:59:24,"```json
{
  ""categories"": [ 
    ""bitcoin_mining"",
    ""educational_resources"""
10591.0,2013-05-11 05:10:03,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""bitcoin_mining"""
10592.0,2013-05-11 08:44:26,"```json
{
  ""categories"": [ 
    ""other"""
10593.0,2013-05-11 14:46:36,"```json
{
  ""categories"": [ 
    ""other"""
10594.0,2013-05-11 14:57:49,"```json
{
  ""categories"": [ 
    ""bitcoin_adoption"",
    ""bitcoin_challenges"",
    ""educational_resources"""
10595.0,2013-05-11 19:58:28,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""bitcoin_challenges"""
10596.0,2013-05-12 03:38:24,"```json
{
  ""categories"": [ 
    ""bitcoin_mining"",
    ""scams"""
10597.0,2013-05-12 04:15:37,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"",
    ""other"""
10598.0,2013-05-12 04:17:57,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""bitcoin_challenges"",
    ""altcoins"""
10599.0,2013-05-12 05:55:23,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"""
10600.0,2013-05-12 14:37:44,"```json
{
  ""categories"": [ 
    ""bitcoin_mining"",
    ""scams"""
10601.0,2013-05-12 16:08:10,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"""
10602.0,2013-05-12 16:40:45,"```json
{
  ""categories"": [ 
    ""bitcoin_mining"",
    ""educational_resources"""
10603.0,2013-05-12 18:52:42,"```json
{
  ""categories"": [ 
    ""educational_resources"""
10604.0,2013-05-12 18:57:41,"```json
{
  ""categories"": [ 
    ""bitcoin_mining"""
10605.0,2013-05-12 19:30:46,"```json
{
  ""categories"": [ 
    ""educational_resources"""
10606.0,2013-05-12 19:33:55,"```json
{
  ""categories"": [ 
    ""other"""
10607.0,2013-05-13 00:59:38,"```json
{
  ""categories"": [ 
    ""bitcoin_adoption"",
    ""educational_resources"",
    ""other"""
10608.0,2013-05-13 01:08:44,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""pessimistic_speculation"""
10609.0,2013-05-13 01:49:36,"```json
{
  ""categories"": [ 
    ""other"""
10610.0,2013-05-13 02:57:22,"```json
{
  ""categories"": [ 
    ""educational_resources"""
10611.0,2013-05-13 07:38:56,"```json
{
  ""categories"": [ 
    ""other"""
10612.0,2013-05-13 09:30:33,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"",
    ""other"""
10613.0,2013-05-13 10:13:39,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""bitcoin_adoption"""
10614.0,2013-05-13 13:13:35,"```json
{
  ""categories"": [ 
    ""other"""
