index,date,output
43295.0,2018-03-04 10:25:52,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"",
    ""other"""
43296.0,2018-03-04 10:30:59,"```json
{
  ""categories"": [ 
    ""other"""
43297.0,2018-03-04 10:43:51,"```json
{
  ""categories"": [ 
    ""educational_resources"""
43298.0,2018-03-04 11:38:33,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""educational_resources"",
    ""other"""
43299.0,2018-03-04 12:47:44,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""pessimistic_speculation"""
43300.0,2018-03-04 12:52:49,"```json
{
  ""categories"": [ 
    ""educational_resources"",
    ""other"""
43301.0,2018-03-04 13:11:44,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""financial_products"""
43302.0,2018-03-04 13:15:54,"```json
{
  ""categories"": [ 
    ""other"""
43303.0,2018-03-04 13:33:15,"```json
{
  ""categories"": [ 
    ""bitcoin_adoption"""
43304.0,2018-03-04 14:26:01,"```json
{
  ""categories"": [ 
    ""altcoins"",
    ""bitcoin_adoption"",
    ""optimistic_speculation"""
43305.0,2018-03-04 14:53:01,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"",
    ""other"""
43306.0,2018-03-04 14:59:38,"```json
{
  ""categories"": [ 
    ""bitcoin_adoption"",
    ""bitcoin_challenges"",
    ""other"""
43307.0,2018-03-04 16:17:44,"```json
{
  ""categories"": [ 
    ""altcoins"",
    ""scams"""
43308.0,2018-03-04 16:34:15,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""pessimistic_speculation"""
43309.0,2018-03-04 16:59:15,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"",
    ""other"""
43310.0,2018-03-04 17:06:45,"```json
{
  ""categories"": [ 
    ""scams"""
43311.0,2018-03-04 17:14:17,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""other"""
43312.0,2018-03-04 17:17:17,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"",
    ""other"""
43313.0,2018-03-04 17:21:26,"```json
{
  ""categories"": [ 
    ""optimistic_speculation"""
43314.0,2018-03-04 17:56:17,"```json
{
  ""categories"": [ 
    ""pessimistic_speculation"""
43315.0,2018-03-04 18:58:38,"```json
{
  ""categories"": [ 
    ""bitcoin_adoption"",
    ""educational_resources"""
43316.0,2018-03-04 19:15:28,"```json
{
  ""categories"": [ 
    ""bitcoin_mining"",
    ""altcoins"",
    ""other"""
43317.0,2018-03-04 19:19:01,"```json
{
  ""categories"": [ 
    ""other"""
43318.0,2018-03-04 20:54:51,"```json
{
  ""categories"": [ 
    ""other"""
43319.0,2018-03-04 22:24:45,"```json
{
  ""categories"": [ 
    ""educational_resources"""
43320.0,2018-03-04 22:40:20,"```json
{
  ""categories"": [ 
    ""bitcoin_mining"",
    ""bitcoin_technology"",
    ""bitcoin_challenges"""
43321.0,2018-03-05 01:38:31,"```json
{
  ""categories"": [ 
    ""bitcoin_adoption"",
    ""altcoins"""
43322.0,2018-03-05 01:51:29,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""bitcoin_challenges"""
43323.0,2018-03-05 02:43:55,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""optimistic_speculation"""
43324.0,2018-03-05 02:47:12,"```json
{
  ""categories"": [ 
    ""bitcoin_adoption"",
    ""optimistic_speculation"",
    ""educational_resources"""
43325.0,2018-03-05 03:06:45,"```json
{
  ""categories"": [ 
    ""other"""
43326.0,2018-03-05 03:38:30,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""bitcoin_technology"",
    ""other"""
