index,date,output
50906.0,2019-10-22 04:07:21,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"",
    ""other"""
50907.0,2019-10-22 08:24:58,"```json
{
  ""categories"": [ 
    ""bitcoin_adoption"",
    ""optimistic_speculation"""
50908.0,2019-10-22 09:36:30,"```json
{
  ""categories"": [ 
    ""bitcoin_mining"""
50909.0,2019-10-22 10:11:26,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"""
50910.0,2019-10-22 11:46:47,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"""
50911.0,2019-10-22 14:01:41,"```json
{
  ""categories"": [ 
    ""pessimistic_speculation"",
    ""bitcoin_challenges"""
50912.0,2019-10-22 15:00:50,"```json
{
  ""categories"": [ 
    ""educational_resources"",
    ""bitcoin_technology"",
    ""other"""
50913.0,2019-10-23 02:13:17,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""bitcoin_challenges"""
50914.0,2019-10-23 07:11:58,"```json
{
  ""categories"": [ 
    ""financial_products"",
    ""educational_resources"""
50915.0,2019-10-23 08:26:24,"```json
{
  ""categories"": [ 
    ""bitcoin_mining"""
50916.0,2019-10-23 13:28:17,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""scams"""
50917.0,2019-10-23 20:40:19,"```json
{
  ""categories"": [ 
    ""other"""
50918.0,2019-10-23 20:42:59,"```json
{
  ""categories"": [ 
    ""scams"",
    ""altcoins"""
50919.0,2019-10-23 20:44:29,"```json
{
  ""categories"": [ 
    ""altcoins"",
    ""pessimistic_speculation"""
50920.0,2019-10-23 20:46:20,"```json
{
  ""categories"": [ 
    ""optimistic_speculation"",
    ""bitcoin_adoption"""
50921.0,2019-10-23 20:47:55,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""scams"""
50922.0,2019-10-23 21:27:37,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""altcoins"",
    ""other"""
50923.0,2019-10-23 23:24:49,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"""
50924.0,2019-10-24 05:16:43,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"",
    ""scams"""
50925.0,2019-10-24 08:28:08,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"""
50926.0,2019-10-24 11:24:00,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""bitcoin_challenges"",
    ""bitcoin_mining"""
50927.0,2019-10-24 12:25:01,"```json
{
  ""categories"": [ 
    ""bitcoin_mining"",
    ""educational_resources"",
    ""other"""
50928.0,2019-10-24 15:41:35,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""educational_resources"",
    ""other"""
50929.0,2019-10-24 16:50:32,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"""
50930.0,2019-10-25 08:03:28,"```json
{
  ""categories"": [ 
    ""bitcoin_adoption"",
    ""educational_resources"",
    ""other"""
50931.0,2019-10-25 09:53:36,"```json
{
  ""categories"": [ 
    ""other"""
50932.0,2019-10-25 11:49:15,"```json
{
  ""categories"": [ 
    ""financial_products"""
