index,date,output
2830.0,2011-06-15 11:35:23,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""bitcoin_challenges"""
2831.0,2011-06-15 11:55:51,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""scams"""
2832.0,2011-06-15 11:55:52,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"""
2833.0,2011-06-15 12:04:43,"```json
{
  ""categories"": [ 
    ""other"""
2834.0,2011-06-15 12:25:33,"```json
{
  ""categories"": [ 
    ""financial_products"",
    ""educational_resources"",
    ""other"""
2835.0,2011-06-15 12:29:22,"```json
{
  ""categories"": [ 
    ""bitcoin_mining"""
2836.0,2011-06-15 13:25:20,"```json
{
  ""categories"": [ 
    ""bitcoin_mining"",
    ""altcoins"""
2837.0,2011-06-15 13:49:57,"```json
{
  ""categories"": [ 
    ""financial_products"",
    ""scams"""
2838.0,2011-06-15 13:57:03,"```json
{
  ""categories"": [ 
    ""educational_resources"""
2839.0,2011-06-15 14:23:19,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"""
2840.0,2011-06-15 16:22:45,"```json
{
  ""categories"": [ 
    ""scams"""
2841.0,2011-06-15 16:47:40,"```json
{
  ""categories"": [ 
    ""altcoins"",
    ""bitcoin_technology"",
    ""educational_resources"""
2842.0,2011-06-15 17:34:25,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""other"""
2843.0,2011-06-15 17:58:12,"```json
{
  ""categories"": [ 
    ""bitcoin_mining"",
    ""bitcoin_challenges"",
    ""pessimistic_speculation"""
2844.0,2011-06-15 18:00:49,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""educational_resources"",
    ""other"""
2845.0,2011-06-15 18:21:02,"```json
{
  ""categories"": [ 
    ""scams"""
2846.0,2011-06-15 18:21:09,"```json
{
  ""categories"": [ 
    ""bitcoin_mining"",
    ""bitcoin_challenges"",
    ""scams"""
2847.0,2011-06-15 19:29:20,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"""
2848.0,2011-06-15 19:34:46,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"",
    ""other"""
2849.0,2011-06-15 19:36:26,"```json
{
  ""categories"": [ 
    ""altcoins"",
    ""educational_resources"""
2850.0,2011-06-15 19:47:47,"```json
{
  ""categories"": [ 
    ""other"""
2851.0,2011-06-15 19:52:28,"```json
{
  ""categories"": [ 
    ""other"""
2852.0,2011-06-15 20:10:55,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""scams"""
2853.0,2011-06-15 21:39:30,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"",
    ""other"""
2854.0,2011-06-15 22:56:20,"```json
{
  ""categories"": [ 
    ""other"""
2855.0,2011-06-15 23:05:14,"```json
{
  ""categories"": [ 
    ""altcoins"",
    ""educational_resources"""
2856.0,2011-06-15 23:29:04,"```json
{
  ""categories"": [ 
    ""other"""
2857.0,2011-06-16 00:46:53,"```json
{
  ""categories"": [ 
    ""financial_products"",
    ""other"""
2858.0,2011-06-16 01:14:44,"```json
{
  ""categories"": [ 
    ""other"""
2859.0,2011-06-16 02:43:44,"```json
{
  ""categories"": [ 
    ""other"""
2860.0,2011-06-16 03:01:24,"```json
{
  ""categories"": [ 
    ""bitcoin_mining"",
    ""educational_resources"""
2861.0,2011-06-16 03:34:14,"```json
{
  ""categories"": [ 
    ""other"""
2862.0,2011-06-16 04:32:56,"```json
{
  ""categories"": [ 
    ""other"""
2863.0,2011-06-16 04:42:21,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"""
2864.0,2011-06-16 05:34:04,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"""
2865.0,2011-06-16 06:01:49,"```json
{
  ""categories"": [ 
    ""financial_products"",
    ""other"""
2866.0,2011-06-16 06:22:13,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"""
2867.0,2011-06-16 06:56:52,"```json
{
  ""categories"": [ 
    ""bitcoin_mining"",
    ""educational_resources"""
2868.0,2011-06-16 07:06:15,"```json
{
  ""categories"": [ 
    ""scams"""
2869.0,2011-06-16 07:20:42,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"""
