index,date,output
30145.0,2017-01-31 02:26:39,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""bitcoin_technology"",
    ""altcoins"""
30146.0,2017-01-31 03:28:52,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""other"""
30147.0,2017-01-31 07:19:45,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""bitcoin_challenges"",
    ""altcoins"""
30148.0,2017-01-31 13:21:29,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""bitcoin_adoption"""
30149.0,2017-01-31 14:55:04,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""bitcoin_challenges"""
30150.0,2017-01-31 20:18:26,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""bitcoin_challenges"",
    ""scams"""
30151.0,2017-01-31 22:12:34,"```json
{
  ""categories"": [ 
    ""other"""
30152.0,2017-02-01 05:43:10,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""bitcoin_challenges"""
30153.0,2017-02-01 10:51:13,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""bitcoin_mining"",
    ""other"""
30154.0,2017-02-01 13:57:04,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"",
    ""other"""
30155.0,2017-02-01 16:17:07,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""bitcoin_challenges"",
    ""altcoins"""
30156.0,2017-02-01 17:01:24,"```json
{
  ""categories"": [ 
    ""bitcoin_adoption"",
    ""educational_resources"""
30157.0,2017-02-01 19:10:23,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"""
30158.0,2017-02-01 21:22:44,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""bitcoin_challenges"",
    ""bitcoin_mining"""
30159.0,2017-02-02 03:13:34,"```json
{
  ""categories"": [ 
    ""other"""
30160.0,2017-02-02 03:38:18,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""optimistic_speculation"""
30161.0,2017-02-02 07:25:16,"```json
{
  ""categories"": [ 
    ""optimistic_speculation"",
    ""bitcoin_adoption"""
30162.0,2017-02-02 10:27:21,"```json
{
  ""categories"": [ 
    ""bitcoin_adoption"",
    ""educational_resources"",
    ""other"""
30163.0,2017-02-02 10:40:06,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"""
30164.0,2017-02-02 13:56:28,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"""
30165.0,2017-02-02 15:21:31,"```json
{
  ""categories"": [ 
    ""scams"""
30166.0,2017-02-02 16:15:21,"```json
{
  ""categories"": [ 
    ""bitcoin_adoption"",
    ""bitcoin_challenges"",
    ""bitcoin_technology"""
30167.0,2017-02-02 16:57:16,"```json
{
  ""categories"": [ 
    ""other"""
30168.0,2017-02-02 17:51:46,"```json
{
  ""categories"": [ 
    ""other"""
30169.0,2017-02-02 17:57:29,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""altcoins"",
    ""educational_resources"""
30170.0,2017-02-02 19:29:43,"```json
{
  ""categories"": [ 
    ""altcoins"",
    ""educational_resources"""
30171.0,2017-02-02 20:55:40,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"""
30172.0,2017-02-02 21:41:41,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""bitcoin_mining"""
30173.0,2017-02-03 00:28:18,"```json
{
  ""categories"": [ 
    ""other"""
30174.0,2017-02-03 02:57:16,"```json
{
  ""categories"": [ 
    ""bitcoin_mining"",
    ""scams"""
30175.0,2017-02-03 03:45:11,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""bitcoin_challenges"",
    ""altcoins"""
30176.0,2017-02-03 06:04:21,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""educational_resources"""
30177.0,2017-02-03 06:18:35,"```json
{
  ""categories"": [ 
    ""financial_products"",
    ""educational_resources"""
30178.0,2017-02-03 06:26:20,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""scams"""
30179.0,2017-02-03 07:29:59,"```json
{
  ""categories"": [ 
    ""other"""
30180.0,2017-02-03 13:01:45,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""bitcoin_challenges"""
30181.0,2017-02-03 14:34:19,"```json
{
  ""categories"": [ 
    ""altcoins"",
    ""educational_resources"""
30182.0,2017-02-03 16:20:42,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"""
30183.0,2017-02-03 17:06:27,"```json
{
  ""categories"": [ 
    ""other"""
30184.0,2017-02-03 17:31:22,"```json
{
  ""categories"": [ 
    ""other"""
30185.0,2017-02-03 17:46:10,"```json
{
  ""categories"": [ 
    ""other"""
30186.0,2017-02-03 18:13:51,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""educational_resources"""
30187.0,2017-02-03 23:36:03,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""bitcoin_challenges"""
30188.0,2017-02-04 04:57:37,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""bitcoin_challenges"""
30189.0,2017-02-04 06:08:50,"```json
{
  ""categories"": [ 
    ""educational_resources"""
30190.0,2017-02-04 07:00:54,"```json
{
  ""categories"": [ 
    ""financial_products"",
    ""educational_resources"""
30191.0,2017-02-04 08:22:21,"```json
{
  ""categories"": [ 
    ""bitcoin_challenges"",
    ""bitcoin_mining"",
    ""educational_resources"""
30192.0,2017-02-04 10:50:26,"```json
{
  ""categories"": [ 
    ""educational_resources"""
30193.0,2017-02-04 12:03:19,"```json
{
  ""categories"": [ 
    ""other"""
30194.0,2017-02-04 13:57:18,"```json
{
  ""categories"": [ 
    ""bitcoin_technology"",
    ""bitcoin_challenges"",
    ""educational_resources"""
