month,optimistic_speculation,pessimistic_speculation,bitcoin_adoption,bitcoin_technology,bitcoin_challenges,altcoins,educational_resources,posts_count
2010-01,0.0,0.0,0.0,0.4,0.06666666666666667,0.0,0.5333333333333333,15
2010-02,0.0,0.0,0.0,0.47368421052631576,0.05263157894736842,0.0,0.47368421052631576,19
2010-03,0.0,0.0,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.0,0.45454545454545453,11
2010-04,0.0,0.0,0.0,0.3333333333333333,0.25,0.08333333333333333,0.3333333333333333,12
2010-05,0.0,0.0,0.25,0.0,0.25,0.0,0.5,4
2010-06,0.0,0.0,0.05263157894736842,0.2631578947368421,0.2631578947368421,0.0,0.42105263157894735,19
2010-07,0.007751937984496124,0.015503875968992248,0.007751937984496124,0.4108527131782946,0.18604651162790697,0.0,0.37209302325581395,129
2010-08,0.008064516129032258,0.008064516129032258,0.016129032258064516,0.3790322580645161,0.20967741935483872,0.04838709677419355,0.33064516129032256,124
2010-09,0.0,0.0,0.018867924528301886,0.33962264150943394,0.16981132075471697,0.03773584905660377,0.4339622641509434,53
2010-10,0.03125,0.0,0.109375,0.28125,0.15625,0.03125,0.390625,64
2010-11,0.007246376811594203,0.0,0.057971014492753624,0.35507246376811596,0.12318840579710146,0.021739130434782608,0.43478260869565216,138
2010-12,0.014705882352941176,0.007352941176470588,0.03676470588235294,0.35294117647058826,0.16911764705882354,0.022058823529411766,0.39705882352941174,136
2011-01,0.009009009009009009,0.0,0.02702702702702703,0.36036036036036034,0.12612612612612611,0.02702702702702703,0.45045045045045046,111
2011-02,0.0374331550802139,0.0106951871657754,0.058823529411764705,0.31016042780748665,0.1443850267379679,0.03208556149732621,0.40641711229946526,187
2011-03,0.010452961672473868,0.0,0.03484320557491289,0.33797909407665505,0.15331010452961671,0.010452961672473868,0.4529616724738676,287
2011-04,0.023391812865497075,0.014619883040935672,0.049707602339181284,0.28362573099415206,0.21637426900584794,0.02046783625730994,0.391812865497076,342
2011-05,0.016467065868263474,0.01347305389221557,0.05389221556886228,0.281437125748503,0.20508982035928144,0.020958083832335328,0.4086826347305389,668
2011-06,0.055441478439425054,0.038501026694045176,0.04260780287474333,0.22484599589322382,0.27566735112936347,0.019507186858316223,0.343429158110883,1948
2011-07,0.034869240348692404,0.028642590286425903,0.08841843088418432,0.23661270236612703,0.22415940224159403,0.0161892901618929,0.3711083437110834,803
2011-08,0.02866779089376054,0.023608768971332208,0.04215851602023609,0.2596964586846543,0.2327150084317032,0.026981450252951095,0.38617200674536256,593
2011-09,0.024922118380062305,0.018691588785046728,0.09034267912772585,0.24610591900311526,0.18691588785046728,0.018691588785046728,0.4143302180685358,321
2011-10,0.03773584905660377,0.026954177897574125,0.09703504043126684,0.215633423180593,0.22911051212938005,0.02425876010781671,0.3692722371967655,371
2011-11,0.012448132780082987,0.004149377593360996,0.1037344398340249,0.24066390041493776,0.23651452282157676,0.016597510373443983,0.38589211618257263,241
2011-12,0.01020408163265306,0.0,0.1326530612244898,0.21428571428571427,0.17346938775510204,0.015306122448979591,0.45408163265306123,196
2012-01,0.025210084033613446,0.012605042016806723,0.09243697478991597,0.27310924369747897,0.21428571428571427,0.025210084033613446,0.35714285714285715,238
2012-02,0.0106951871657754,0.0,0.10695187165775401,0.25668449197860965,0.24598930481283424,0.0053475935828877,0.37433155080213903,187
2012-03,0.020161290322580645,0.016129032258064516,0.0967741935483871,0.29838709677419356,0.16129032258064516,0.024193548387096774,0.38306451612903225,248
2012-04,0.010309278350515464,0.0,0.13917525773195877,0.27835051546391754,0.13402061855670103,0.010309278350515464,0.42783505154639173,194
2012-05,0.011857707509881422,0.0,0.05533596837944664,0.3557312252964427,0.14624505928853754,0.007905138339920948,0.42292490118577075,253
2012-06,0.026515151515151516,0.003787878787878788,0.07196969696969698,0.30303030303030304,0.13636363636363635,0.003787878787878788,0.45454545454545453,264
