date,speculation,adoption,altcoins,none,posts_count
2010-01,0.0,0.8429244153563731,0.0,0.21607378129117258,0.003964321110009911
2010-02,0.0,1.0,0.0,0.0,0.004955401387512388
2010-03,0.0,0.8080187298800117,0.0,0.26409017713365535,0.002973240832507433
2010-04,0.0,0.8272168568920106,0.0,0.23768115942028986,0.003468780971258672
2010-05,0.9523809523809523,0.424056189640035,0.0,0.0,0.0
2010-06,0.0,0.8920105355575065,0.0,0.14855072463768115,0.006442021803766105
2010-07,0.06420545746388442,0.8252754732615837,0.0,0.18694023774629537,0.04261645193260653
2010-08,0.06568144499178982,0.6425176349489874,0.15736984448951993,0.4097951024487756,0.04162537165510406
2010-09,0.0696864111498258,0.662862159789289,0.0,0.4057971014492754,0.018830525272547076
2010-10,0.14285714285714288,0.5968393327480246,0.0,0.43574879227053137,0.028245787908820614
2010-11,0.12642225031605564,0.571864778139495,0.12116085372201976,0.46274208028728997,0.054509415262636265
2010-12,0.08163265306122448,0.6379781763451648,0.0,0.4300897170462388,0.050545094152626355
2011-01,0.031055900621118012,0.6619460243539337,0.1488171355498721,0.4133585381222432,0.04410307234886025
2011-02,0.18674136321195145,0.44664222141885723,0.0,0.6058539357772094,0.07433102081268582
2011-03,0.09852216748768473,0.5456994944143378,0.0,0.5429785107446277,0.11347869177403369
2011-04,0.21164021164021163,0.36588004717943257,0.046098237274707854,0.6882350070755868,0.14568880079286423
2011-05,0.22915650901999024,0.3513260838949199,0.023363782373017464,0.6976307068308848,0.28889990089197226
2011-06,0.429732868757259,0.0,0.10435347919655666,0.9999999999999999,0.9737363726461844
2011-07,0.2753872633390706,0.26306948602134617,0.03299078667611623,0.7789069320761306,0.4098116947472745
2011-08,0.2502951593860685,0.15750368236600165,0.13578026251823042,0.9271529524493951,0.29831516352824583
2011-09,0.1830481496219658,0.2540003570546415,0.22882189087334096,0.8342012837592345,0.176412289395441
2011-10,0.23483365949119372,0.2946660733399882,0.03751007252215954,0.7683938852491562,0.17938553022794845
2011-11,0.1594114040465972,0.34001288684072706,0.0,0.7752690178515892,0.11397423191278493
